id;levelFile;levelNumber;agent;result;steps;playTimeMillis
MyAgent;level0001.s4jl;0;cz.sokoban4j.playground.MyAgent;VICTORY;5;27
MyAgent;level0002.1.s4jl;0;cz.sokoban4j.playground.MyAgent;VICTORY;13;41
MyAgent;level0002.2.s4jl;0;cz.sokoban4j.playground.MyAgent;VICTORY;25;34
MyAgent;level0002.3.s4jl;0;cz.sokoban4j.playground.MyAgent;VICTORY;37;41
MyAgent;level0003.s4jl;0;cz.sokoban4j.playground.MyAgent;VICTORY;60;52
MyAgent;level0004.s4jl;0;cz.sokoban4j.playground.MyAgent;VICTORY;69;52
MyAgent;level0005.s4jl;0;cz.sokoban4j.playground.MyAgent;VICTORY;71;46
MyAgent;level0006.s4jl;0;cz.sokoban4j.playground.MyAgent;VICTORY;104;103
MyAgent;level0007.s4jl;0;cz.sokoban4j.playground.MyAgent;VICTORY;99;164
MyAgent;level0008.s4jl;0;cz.sokoban4j.playground.MyAgent;VICTORY;61;78
MyAgent;level0009.s4jl;0;cz.sokoban4j.playground.MyAgent;VICTORY;93;134
MyAgent;Aymeric_du_Peloux_3_Nabokosmos.sok;10;cz.sokoban4j.playground.MyAgent;VICTORY;195;474
MyAgent;Aymeric_du_Peloux_5_Cosmopoly.sok;18;cz.sokoban4j.playground.MyAgent;VICTORY;185;698
MyAgent;Aymeric_du_Peloux_1_Minicosmos.sok;13;cz.sokoban4j.playground.MyAgent;VICTORY;121;822
MyAgent;Aymeric_du_Peloux_5_Cosmopoly.sok;4;cz.sokoban4j.playground.MyAgent;VICTORY;158;1040
MyAgent;Aymeric_du_Peloux_5_Cosmopoly.sok;17;cz.sokoban4j.playground.MyAgent;VICTORY;185;1187
MyAgent;Blazz2.sok;1;cz.sokoban4j.playground.MyAgent;VICTORY;72;961
MyAgent;Cosmonotes.sok;8;cz.sokoban4j.playground.MyAgent;VICTORY;220;907
MyAgent;Jacques_Duthen_Sokogen.sok;77;cz.sokoban4j.playground.MyAgent;VICTORY;177;1238
MyAgent;Aymeric_du_Peloux_3_Nabokosmos.sok;3;cz.sokoban4j.playground.MyAgent;VICTORY;178;1418
MyAgent;Jacques_Duthen_Sokogen.sok;75;cz.sokoban4j.playground.MyAgent;VICTORY;101;1271
MyAgent;Aymeric_du_Peloux_1_Minicosmos.sok;23;cz.sokoban4j.playground.MyAgent;VICTORY;177;959
MyAgent;A.K.K._Informatika.sok;1;cz.sokoban4j.playground.MyAgent;VICTORY;70;1630
MyAgent;Cosmonotes.sok;6;cz.sokoban4j.playground.MyAgent;VICTORY;170;1864
MyAgent;Cosmonotes.sok;5;cz.sokoban4j.playground.MyAgent;VICTORY;281;1672
MyAgent;Cosmonotes.sok;3;cz.sokoban4j.playground.MyAgent;VICTORY;206;1232
MyAgent;Aymeric_du_Peloux_3_Nabokosmos.sok;2;cz.sokoban4j.playground.MyAgent;VICTORY;133;1440
MyAgent;Aymeric_du_Peloux_5_Cosmopoly.sok;19;cz.sokoban4j.playground.MyAgent;VICTORY;201;1466
MyAgent;Aymeric_du_Peloux_5_Cosmopoly.sok;20;cz.sokoban4j.playground.MyAgent;VICTORY;203;1465
MyAgent;Aymeric_du_Peloux_5_Cosmopoly.sok;14;cz.sokoban4j.playground.MyAgent;VICTORY;238;1757
MyAgent;Blazz.sok;2;cz.sokoban4j.playground.MyAgent;VICTORY;95;2397
MyAgent;Jacques_Duthen_Sokogen.sok;76;cz.sokoban4j.playground.MyAgent;VICTORY;122;2974
MyAgent;Aymeric_du_Peloux_3_Nabokosmos.sok;11;cz.sokoban4j.playground.MyAgent;VICTORY;119;6805
MyAgent;Aymeric_du_Peloux_5_Cosmopoly.sok;13;cz.sokoban4j.playground.MyAgent;VICTORY;151;8132
MyAgent;A.K.K._Informatika.sok;2;cz.sokoban4j.playground.MyAgent;VICTORY;54;5860
MyAgent;Cosmonotes.sok;4;cz.sokoban4j.playground.MyAgent;TIMEOUT;0;10000
