id;levelFile;levelNumber;agent;result;steps;playTimeMillis
MyAgent;level0001.s4jl;0;cz.sokoban4j.playground.MyAgent;VICTORY;5;24
MyAgent;level0002.1.s4jl;0;cz.sokoban4j.playground.MyAgent;VICTORY;13;44
MyAgent;level0002.2.s4jl;0;cz.sokoban4j.playground.MyAgent;VICTORY;25;35
MyAgent;level0002.3.s4jl;0;cz.sokoban4j.playground.MyAgent;VICTORY;39;37
MyAgent;level0003.s4jl;0;cz.sokoban4j.playground.MyAgent;VICTORY;60;52
MyAgent;level0004.s4jl;0;cz.sokoban4j.playground.MyAgent;VICTORY;69;77
MyAgent;level0005.s4jl;0;cz.sokoban4j.playground.MyAgent;VICTORY;71;49
MyAgent;level0006.s4jl;0;cz.sokoban4j.playground.MyAgent;VICTORY;106;103
MyAgent;level0007.s4jl;0;cz.sokoban4j.playground.MyAgent;VICTORY;105;183
MyAgent;level0008.s4jl;0;cz.sokoban4j.playground.MyAgent;VICTORY;69;89
MyAgent;level0009.s4jl;0;cz.sokoban4j.playground.MyAgent;VICTORY;97;132
MyAgent;Aymeric_du_Peloux_3_Nabokosmos.sok;10;cz.sokoban4j.playground.MyAgent;VICTORY;207;453
MyAgent;Aymeric_du_Peloux_5_Cosmopoly.sok;18;cz.sokoban4j.playground.MyAgent;VICTORY;201;677
MyAgent;Aymeric_du_Peloux_1_Minicosmos.sok;13;cz.sokoban4j.playground.MyAgent;VICTORY;125;658
MyAgent;Aymeric_du_Peloux_5_Cosmopoly.sok;4;cz.sokoban4j.playground.MyAgent;VICTORY;164;1046
MyAgent;Aymeric_du_Peloux_5_Cosmopoly.sok;17;cz.sokoban4j.playground.MyAgent;VICTORY;193;1070
MyAgent;Blazz2.sok;1;cz.sokoban4j.playground.MyAgent;VICTORY;84;1037
MyAgent;Cosmonotes.sok;8;cz.sokoban4j.playground.MyAgent;VICTORY;228;1068
MyAgent;Jacques_Duthen_Sokogen.sok;77;cz.sokoban4j.playground.MyAgent;VICTORY;187;1258
MyAgent;Aymeric_du_Peloux_3_Nabokosmos.sok;3;cz.sokoban4j.playground.MyAgent;VICTORY;200;1518
MyAgent;Jacques_Duthen_Sokogen.sok;75;cz.sokoban4j.playground.MyAgent;VICTORY;113;1282
MyAgent;Aymeric_du_Peloux_1_Minicosmos.sok;23;cz.sokoban4j.playground.MyAgent;VICTORY;185;1005
MyAgent;A.K.K._Informatika.sok;1;cz.sokoban4j.playground.MyAgent;VICTORY;82;1227
MyAgent;Cosmonotes.sok;6;cz.sokoban4j.playground.MyAgent;VICTORY;186;1910
MyAgent;Cosmonotes.sok;5;cz.sokoban4j.playground.MyAgent;VICTORY;317;1813
MyAgent;Cosmonotes.sok;3;cz.sokoban4j.playground.MyAgent;VICTORY;214;1459
MyAgent;Aymeric_du_Peloux_3_Nabokosmos.sok;2;cz.sokoban4j.playground.MyAgent;VICTORY;145;1557
MyAgent;Aymeric_du_Peloux_5_Cosmopoly.sok;19;cz.sokoban4j.playground.MyAgent;VICTORY;207;1404
MyAgent;Aymeric_du_Peloux_5_Cosmopoly.sok;20;cz.sokoban4j.playground.MyAgent;VICTORY;229;1466
MyAgent;Aymeric_du_Peloux_5_Cosmopoly.sok;14;cz.sokoban4j.playground.MyAgent;VICTORY;254;1747
MyAgent;Blazz.sok;2;cz.sokoban4j.playground.MyAgent;VICTORY;103;2297
MyAgent;Jacques_Duthen_Sokogen.sok;76;cz.sokoban4j.playground.MyAgent;VICTORY;132;2616
MyAgent;Aymeric_du_Peloux_3_Nabokosmos.sok;11;cz.sokoban4j.playground.MyAgent;VICTORY;123;6648
MyAgent;Aymeric_du_Peloux_5_Cosmopoly.sok;13;cz.sokoban4j.playground.MyAgent;VICTORY;157;8257
MyAgent;A.K.K._Informatika.sok;2;cz.sokoban4j.playground.MyAgent;VICTORY;70;5819
MyAgent;Cosmonotes.sok;4;cz.sokoban4j.playground.MyAgent;TIMEOUT;0;10000
